"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC180min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX180min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_2063",1,8996.333626,4.236159287,0.112644393,37.60648172,0,0,834.0756205,923.9645911,930.6669576,17679.28291,18614.0866,14995.92508,"SPD_1874","SP_RS10430","SPT_RS10190","SPT_2058","SPD_RS09880","LysM domain protein","MEMBRANE PROTEIN ","Cell Wall","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"2","SP_0101",2,4452.747072,3.761648958,0.112470702,33.44558983,2.98e-245,3.3e-242,572.4556277,615.5787334,624.5304447,7429.458394,9113.061187,8361.398046,"SPD_0097","SP_RS00510","SPT_RS00680","SPT_0135","SPD_RS00510","putative transporter","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"CynX","transporter"
"3","SP_0107",3,3409.713564,3.55671774,0.112741857,31.54744673,1.94e-218,1.44e-215,506.4030553,513.5787689,568.0267329,6732.895088,6488.838351,5648.539386,"SPD_0104","SP_RS00545","SPT_RS00715","SPT_0141","SPD_RS00545","LysM domain protein","MEMBRANE PROTEIN","Cell Wall","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,""," LysM domain-containing protein"
"4","SP_0057",4,2827.326142,3.103448492,0.104888153,29.58816979,2.12e-192,1.17e-189,585.4071125,608.4208412,563.5423113,4772.504045,5348.168872,5085.913668,"SPD_0063","SP_RS00325","SPT_RS00485","SPT_0095","SPD_RS00335","beta-N-acetylhexosaminidase","CARBOHYDRATE METABOLISM","Cell Wall","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"","beta-N-acetylhexosaminidase"
"5","SP_0117",5,11461.18209,-2.886854104,0.102044567,-28.29013039,4.57e-176,2.02e-173,21121.2814,19855.39661,19692.88891,2816.514665,2857.821017,2423.189973,"SPD_0126","SP_RS00595","SPT_RS00835","SPT_0163","SPD_RS00685","pneumococcal surface protein A","VARIOUS","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cellular community",NA,NA,1,"","Pneumococcal surface protein A"
"6","SP_2236",6,1321.367473,3.308354579,0.120032496,27.56215767,3.16e-167,1.17e-164,212.4043506,243.3683365,257.4057984,2480.337587,2305.928239,2428.760525,"SPD_2064","SP_RS11430","SPT_RS11160","SPT_2256","SPD_RS10835","putative sensor histidine kinase ComD","REGULATOR","Membrane","CELLULAR PROCESSES","ENVIRONMENTAL INFORMATION PROCESSING",NA,"Cellular community","Signal transduction",NA,2,"comD","sensor histidine kinase ComD"
"7","SP_2209",7,1849.73665,2.981546154,0.108331638,27.5223952,9.47e-167,3e-164,445.5310768,411.5788043,389.2477928,3313.352474,3279.937027,3258.772723,"SPD_2036","SP_RS11280","SPT_RS11015","SPT_2227","SPD_RS10685","conserved hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"8","SP_0075",9,2176.620646,3.196658829,0.118928633,26.87879911,3.89e-159,9.57e-157,407.9717709,390.1051276,473.5549184,4201.938366,3915.16015,3670.993546,"SPD_0074","SP_RS00395","SPT_RS00550","SPT_0109","SPD_RS00395","phosphorylase, Pnp/Udp family","UNKNOWN","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"","phosphorylase Pnp/Udp family protein"
"9","SP_2201",10,772.7635301,3.568351957,0.133060091,26.81759751,2.01e-158,4.46e-156,112.6779177,124.0701323,116.2959995,1381.572245,1375.63373,1526.331156,"SPD_2028","SP_RS11240","SPT_RS10975","SPT_2219","SPD_RS10645","choline binding protein D","VARIOUS","Extracellular","CELLULAR PROCESSES",NA,NA,"Cellular community",NA,NA,1,"cbpD","Late competence protein cbpD - murein hydrolase"
"10","SP_0036",12,3901.4294,2.493456776,0.09605267,25.95926568,1.43e-148,2.54e-146,1119.008286,1201.332916,1192.856139,6594.242676,6800.302591,6500.83379,"SPD_0042","SP_RS00220","SPT_RS00375","SPT_0074","SPD_RS00220","DNA repair protein","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recO","DNA repair protein RecO"
"11","SP_2087",13,512.9223098,4.38366827,0.168877332,25.95770684,1.49e-148,2.54e-146,37.55930589,41.75437145,52.61721315,917.1967077,1036.848065,991.558196,"SPD_1913","SP_RS10625","SPT_RS10385","SPT_2097","SPD_RS10075","phosphate ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"pstB",""
"12","SP_2086",14,575.7192443,4.389932871,0.16960948,25.88259135,1.05e-147,1.65e-145,32.37871198,59.05261105,54.70994322,1038.792672,1177.553402,1091.828126,"SPD_1912","SP_RS10620","SPT_RS10380","SPT_2096","SPD_RS10070","phosphate ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"pstA",""
"13","SP_2225",15,7376.055888,2.716487059,0.105472198,25.75547971,2.8e-146,4.13e-144,2028.202518,1998.244919,1797.95409,13925.76405,12607.4714,11898.69835,"SPD_2052","SP_RS11360","SPT_RS11095","SPT_2243","SPD_RS10765","conserved hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
